GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Projekt,com.example.projekt.Entity,Role,11,71,0,10,1,13,3,13,3,8
Projekt,com.example.projekt.Entity,Project,95,206,30,16,0,23,19,27,2,21
Projekt,com.example.projekt.Entity,TaskStatus,0,27,0,0,0,5,0,1,0,1
Projekt,com.example.projekt.Entity,Task,53,74,7,1,5,15,7,19,3,19
Projekt,com.example.projekt.Entity,User,4,198,0,10,0,37,1,35,1,30
Projekt,com.example.projekt.util,TotpUtil,55,248,22,6,9,42,14,12,2,10
Projekt,com.example.projekt.util,Base32Encoder,6,227,3,25,2,40,4,13,1,2
Projekt,com.example.projekt.config,DataInitializer,73,67,3,1,14,12,4,4,2,4
Projekt,com.example.projekt.config,CustomAuthenticationSuccessHandler,0,61,1,5,0,15,1,5,0,3
Projekt,com.example.projekt.config,SecurityConfig,0,291,0,0,0,49,0,15,0,15
Projekt,com.example.projekt.controller,AdminController,104,34,2,0,24,8,3,3,2,3
Projekt,com.example.projekt.controller,RegistrationController,59,6,6,0,14,1,6,1,3,1
Projekt,com.example.projekt.controller,AccountController,18,102,7,9,6,24,7,5,0,4
Projekt,com.example.projekt.controller,ProjectController,127,42,2,2,30,11,5,6,4,5
Projekt,com.example.projekt.controller,WebController,0,21,0,4,0,7,0,5,0,3
Projekt,com.example.projekt.controller,TaskController,183,9,4,0,39,1,8,1,6,1
Projekt,com.example.projekt.controller,TwoFactorAuthenticationController,94,9,14,0,27,1,10,1,3,1
Projekt,com.example.projekt.exception,UserAlreadyExistAuthenticationException,0,4,0,0,0,2,0,1,0,1
Projekt,com.example.projekt.exception,GlobalExceptionHandler,152,41,0,0,27,7,4,2,4,2
Projekt,com.example.projekt.exception,ResourceNotFoundException,0,23,0,0,0,4,0,2,0,2
Projekt,com.example.projekt.dto,CreateTaskRequest,17,174,4,32,0,6,4,26,1,11
Projekt,com.example.projekt.dto,TwoFactorSetupDto,0,173,0,32,0,5,0,28,0,12
Projekt,com.example.projekt.dto,UpdateProjectRequest,12,176,0,36,0,5,1,29,1,11
Projekt,com.example.projekt.dto,UserRoleUpdateDto,24,123,0,28,1,4,5,19,5,5
Projekt,com.example.projekt.dto,TaskDTO,22,328,0,68,0,9,1,53,1,19
Projekt,com.example.projekt.dto,UpdateTaskRequest,17,171,4,32,0,5,4,26,1,11
Projekt,com.example.projekt.dto,ProjectDTO,0,228,0,44,0,6,0,36,0,14
Projekt,com.example.projekt.dto,VerifyTotpCodeDto,0,66,0,12,0,2,0,12,0,6
Projekt,com.example.projekt.dto,UserRegistrationDto,12,227,0,48,0,7,1,38,1,14
Projekt,com.example.projekt.dto,AssignUsersToProjectDto,24,123,0,28,0,4,5,19,5,5
Projekt,com.example.projekt.dto,UserDTO,8,138,0,28,0,4,1,23,1,9
Projekt,com.example.projekt.dto,CreateProjectRequest,8,180,0,36,0,5,2,28,2,10
Projekt,com.example.projekt.service,UserDetailsServiceImpl,17,6,0,0,3,1,2,1,2,1
Projekt,com.example.projekt.service,ProjectService,32,427,7,25,4,89,10,30,3,21
Projekt,com.example.projekt.service,TaskService,2,187,2,2,0,37,2,10,0,10
Projekt,com.example.projekt.service,UserService,33,340,1,17,0,73,6,26,5,18
Projekt,com.example.projekt,ProjektApplication,5,3,0,0,2,1,1,1,1,1
